
DPS Ranking:
43515866 100.0%  Raid
 318005   0.7%  Vindictive_Gladiators_Badge_of_Conquest_890
 317980   0.7%  Vindictive_Combatants_Badge_of_Conquest_890
 317946   0.7%  Vindictive_Combatants_Accolade_of_Conquest_890
 317811   0.7%  Caged_Horror_870
 317589   0.7%  Vindictive_Combatants_Insignia_of_Conquest_915
 317492   0.7%  Vindictive_Gladiators_Badge_of_Conquest_885
 317486   0.7%  Vindictive_Combatants_Badge_of_Conquest_885
 317477   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_885
 317383   0.7%  Caged_Horror_865
 317373   0.7%  Nether_Conductors_885
 317295   0.7%  Vindictive_Combatants_Accolade_of_Conquest_885
 316954   0.7%  Vindictive_Combatants_Insignia_of_Conquest_910
 316788   0.7%  Vindictive_Gladiators_Badge_of_Conquest_880
 316780   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_880
 316720   0.7%  Vindictive_Combatants_Accolade_of_Conquest_880
 316676   0.7%  Vindictive_Combatants_Badge_of_Conquest_880
 316646   0.7%  Nether_Conductors_880
 316530   0.7%  Vindictive_Combatants_Insignia_of_Conquest_905
 316328   0.7%  Vindictive_Combatants_Accolade_of_Conquest_875
 316288   0.7%  Nether_Conductors_875
 316160   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_875
 316152   0.7%  Vindictive_Gladiators_Badge_of_Conquest_875
 316072   0.7%  Vindictive_Combatants_Badge_of_Conquest_875
 315800   0.7%  Vindictive_Combatants_Insignia_of_Conquest_900
 315780   0.7%  Nether_Conductors_870
 315677   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_870
 315630   0.7%  Vindictive_Combatants_Accolade_of_Conquest_870
 315626   0.7%  Vindictive_Combatants_Badge_of_Conquest_870
 315621   0.7%  Vindictive_Gladiators_Badge_of_Conquest_870
 315172   0.7%  Vindictive_Combatants_Badge_of_Conquest_865
 315147   0.7%  Vindictive_Combatants_Insignia_of_Conquest_895
 315121   0.7%  Darkmoon_Deck_Immortality_865
 315106   0.7%  Nether_Conductors_865
 315091   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_865
 315084   0.7%  Vindictive_Gladiators_Badge_of_Conquest_865
 314940   0.7%  Vindictive_Combatants_Accolade_of_Conquest_865
 314734   0.7%  Vindictive_Combatants_Insignia_of_Conquest_890
 314113   0.7%  Vindictive_Combatants_Insignia_of_Conquest_885
 313685   0.7%  Vindictive_Combatants_Insignia_of_Conquest_880
 313272   0.7%  Vindictive_Combatants_Insignia_of_Conquest_875
 312890   0.7%  Vindictive_Combatants_Insignia_of_Conquest_870
 312362   0.7%  Vindictive_Combatants_Insignia_of_Conquest_865
 303448   0.7%  Baseline
