
DPS Ranking:
111749061 100.0%  Raid
 397933   0.4%  Vindictive_Combatants_Insignia_of_Conquest_915
 397930   0.4%  Caged_Horror_895
 397913   0.4%  Giant_Ornamental_Pearl_920
 397811   0.4%  Terrorbound_Nexus_865
 397538   0.4%  Spiked_Counterweight_880
 397444   0.4%  Vindictive_Combatants_Accolade_of_Conquest_885
 397435   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_885
 397411   0.4%  Mark_of_Dargrul_890
 397391   0.4%  Giant_Ornamental_Pearl_915
 397345   0.4%  Nether_Conductors_885
 397326   0.4%  Eye_of_Skovald_885
 397211   0.4%  Caged_Horror_890
 397190   0.4%  Obelisk_of_the_Void_890
 397168   0.4%  Vindictive_Combatants_Insignia_of_Conquest_910
 396906   0.4%  Spiked_Counterweight_875
 396864   0.4%  Mark_of_Dargrul_885
 396731   0.4%  Eye_of_Skovald_880
 396708   0.4%  Giant_Ornamental_Pearl_910
 396537   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_880
 396519   0.4%  Obelisk_of_the_Void_885
 396492   0.4%  Caged_Horror_885
 396471   0.4%  Spiked_Counterweight_870
 396452   0.4%  Nether_Conductors_880
 396448   0.4%  Vindictive_Combatants_Accolade_of_Conquest_880
 396347   0.4%  Giant_Ornamental_Pearl_905
 396333   0.4%  Vindictive_Combatants_Insignia_of_Conquest_905
 396269   0.4%  Mark_of_Dargrul_880
 396065   0.4%  Eye_of_Skovald_875
 396034   0.4%  Caged_Horror_880
 395895   0.4%  Obelisk_of_the_Void_880
 395839   0.4%  Vindictive_Combatants_Accolade_of_Conquest_875
 395800   0.4%  Spiked_Counterweight_865
 395799   0.4%  Nether_Conductors_875
 395752   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_875
 395715   0.4%  Giant_Ornamental_Pearl_900
 395655   0.4%  Mark_of_Dargrul_875
 395610   0.4%  Eye_of_Skovald_870
 395582   0.4%  Caged_Horror_875
 395452   0.4%  Vindictive_Combatants_Insignia_of_Conquest_900
 395259   0.4%  Obelisk_of_the_Void_875
 395112   0.4%  Vindictive_Combatants_Accolade_of_Conquest_870
 395080   0.4%  Giant_Ornamental_Pearl_895
 395079   0.4%  Mark_of_Dargrul_870
 395035   0.4%  Eye_of_Skovald_865
 394918   0.4%  Nether_Conductors_870
 394815   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_870
 394802   0.4%  Caged_Horror_870
 394694   0.4%  Obelisk_of_the_Void_870
 394660   0.4%  Vindictive_Combatants_Insignia_of_Conquest_895
 394569   0.4%  Mark_of_Dargrul_865
 394498   0.4%  Giant_Ornamental_Pearl_890
 394408   0.4%  Darkmoon_Deck_Immortality_865
 394374   0.4%  Caged_Horror_865
 394281   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_865
 394254   0.4%  Nether_Conductors_865
 394197   0.4%  Vindictive_Combatants_Accolade_of_Conquest_865
 394063   0.4%  Giant_Ornamental_Pearl_885
 393911   0.4%  Obelisk_of_the_Void_865
 393857   0.4%  Vindictive_Combatants_Insignia_of_Conquest_890
 393719   0.4%  Giant_Ornamental_Pearl_880
 393206   0.4%  Vindictive_Combatants_Insignia_of_Conquest_885
 393101   0.4%  Giant_Ornamental_Pearl_875
 392860   0.4%  Giant_Ornamental_Pearl_870
 392499   0.4%  Vindictive_Combatants_Insignia_of_Conquest_880
 392336   0.4%  Giant_Ornamental_Pearl_865
 392172   0.4%  Vindictive_Combatants_Insignia_of_Conquest_875
 391566   0.4%  Vindictive_Combatants_Insignia_of_Conquest_870
 390825   0.3%  Vindictive_Combatants_Insignia_of_Conquest_865
 388201   0.3%  Figurehead_of_the_Naglfar_915
 388165   0.3%  Figurehead_of_the_Naglfar_920
 387895   0.3%  Figurehead_of_the_Naglfar_910
 387715   0.3%  Figurehead_of_the_Naglfar_905
 387705   0.3%  Naraxas_Spiked_Tongue_920
 387694   0.3%  Figurehead_of_the_Naglfar_900
 387602   0.3%  Naraxas_Spiked_Tongue_915
 387536   0.3%  Figurehead_of_the_Naglfar_895
 387510   0.3%  Naraxas_Spiked_Tongue_910
 387345   0.3%  Naraxas_Spiked_Tongue_905
 387194   0.3%  Naraxas_Spiked_Tongue_900
 387193   0.3%  Figurehead_of_the_Naglfar_890
 387096   0.3%  Figurehead_of_the_Naglfar_885
 387031   0.3%  Naraxas_Spiked_Tongue_895
 386901   0.3%  Figurehead_of_the_Naglfar_870
 386890   0.3%  Figurehead_of_the_Naglfar_880
 386860   0.3%  Naraxas_Spiked_Tongue_890
 386780   0.3%  Naraxas_Spiked_Tongue_885
 386735   0.3%  Figurehead_of_the_Naglfar_875
 386552   0.3%  Naraxas_Spiked_Tongue_880
 386528   0.3%  Figurehead_of_the_Naglfar_865
 386380   0.3%  Naraxas_Spiked_Tongue_875
 386337   0.3%  Naraxas_Spiked_Tongue_870
 386213   0.3%  Naraxas_Spiked_Tongue_865
 379203   0.3%  Baseline

HPS Ranking:
9662031 100.0%  Raid
  36122   0.4%  Vindictive_Combatants_Badge_of_Conquest_920
  36117   0.4%  Vindictive_Gladiators_Badge_of_Conquest_920
  36017   0.4%  Vindictive_Gladiators_Badge_of_Conquest_915
  36005   0.4%  Vindictive_Combatants_Badge_of_Conquest_915
  35890   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_920
  35446   0.4%  Oakhearts_Gnarled_Root_920
  35878   0.4%  Vindictive_Gladiators_Badge_of_Conquest_910
  36091   0.4%  Stormsinger_Fulmination_Charge_920
  35856   0.4%  Vindictive_Combatants_Badge_of_Conquest_910
  35387   0.4%  Oakhearts_Gnarled_Root_915
  35737   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_915
  35996   0.4%  Stormsinger_Fulmination_Charge_915
  35750   0.4%  Vindictive_Combatants_Badge_of_Conquest_905
  35337   0.4%  Oakhearts_Gnarled_Root_910
  35747   0.4%  Vindictive_Gladiators_Badge_of_Conquest_905
  35651   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_910
  35672   0.4%  Vindictive_Gladiators_Badge_of_Conquest_900
  35653   0.4%  Vindictive_Combatants_Badge_of_Conquest_900
  35841   0.4%  Stormsinger_Fulmination_Charge_910
  35538   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_905
  35597   0.4%  Vindictive_Combatants_Badge_of_Conquest_895
  35207   0.4%  Oakhearts_Gnarled_Root_905
  35573   0.4%  Vindictive_Gladiators_Badge_of_Conquest_895
  35688   0.4%  Memento_of_Angerboda_920
  35473   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_900
  35741   0.4%  Stormsinger_Fulmination_Charge_905
  35128   0.4%  Oakhearts_Gnarled_Root_900
  35666   0.4%  Stormsinger_Fulmination_Charge_900
  35585   0.4%  Memento_of_Angerboda_915
  35445   0.4%  Vindictive_Gladiators_Badge_of_Conquest_890
  35385   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_895
  35427   0.4%  Vindictive_Combatants_Badge_of_Conquest_890
  35049   0.4%  Oakhearts_Gnarled_Root_895
  35324   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_890
  35374   0.4%  Vindictive_Combatants_Badge_of_Conquest_885
  35365   0.4%  Vindictive_Gladiators_Badge_of_Conquest_885
  35440   0.4%  Hunger_of_the_Pack_920
  35024   0.4%  Giant_Ornamental_Pearl_920
  35000   0.4%  Oakhearts_Gnarled_Root_890
  35538   0.4%  Stormsinger_Fulmination_Charge_895
  35461   0.4%  Memento_of_Angerboda_910
  35291   0.4%  Vindictive_Combatants_Badge_of_Conquest_880
  35439   0.4%  Nightmare_Egg_Shell_920
  35471   0.4%  Stormsinger_Fulmination_Charge_890
  35275   0.4%  Vindictive_Gladiators_Badge_of_Conquest_880
  35415   0.4%  Memento_of_Angerboda_905
  35193   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_885
  35415   0.4%  Chrono_Shard_920
  34937   0.4%  Giant_Ornamental_Pearl_915
  34918   0.4%  Oakhearts_Gnarled_Root_885
  35175   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_880
  35292   0.4%  Hunger_of_the_Pack_915
  35220   0.4%  Vindictive_Gladiators_Badge_of_Conquest_875
  35209   0.4%  Vindictive_Combatants_Badge_of_Conquest_875
  35406   0.4%  Stormsinger_Fulmination_Charge_885
  34885   0.4%  Oakhearts_Gnarled_Root_880
  35222   0.4%  Hunger_of_the_Pack_910
  35298   0.4%  Memento_of_Angerboda_900
  35170   0.4%  Vindictive_Gladiators_Badge_of_Conquest_870
  35104   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_875
  34852   0.4%  Giant_Ornamental_Pearl_910
  34827   0.4%  Giant_Ornamental_Pearl_905
  35288   0.4%  Chrono_Shard_915
  35308   0.4%  Stormsinger_Fulmination_Charge_880
  34830   0.4%  Oakhearts_Gnarled_Root_875
  35287   0.4%  Nightmare_Egg_Shell_915
  34995   0.4%  Terrorbound_Nexus_920
  35092   0.4%  Vindictive_Combatants_Badge_of_Conquest_865
  35209   0.4%  Memento_of_Angerboda_895
  35082   0.4%  Vindictive_Combatants_Badge_of_Conquest_870
  35004   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_870
  34783   0.4%  Giant_Ornamental_Pearl_900
  35043   0.4%  Vindictive_Gladiators_Badge_of_Conquest_865
  35196   0.4%  Chrono_Shard_910
  35183   0.4%  Nightmare_Egg_Shell_910
  35082   0.4%  Hunger_of_the_Pack_905
  34739   0.4%  Oakhearts_Gnarled_Root_870
  35192   0.4%  Stormsinger_Fulmination_Charge_875
  34930   0.4%  Terrorbound_Nexus_915
  35110   0.4%  Memento_of_Angerboda_890
  34936   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_865
  35129   0.4%  Nightmare_Egg_Shell_905
  35017   0.4%  Hunger_of_the_Pack_900
  34676   0.4%  Giant_Ornamental_Pearl_895
  35097   0.4%  Chrono_Shard_905
  35131   0.4%  Stormsinger_Fulmination_Charge_870
  34979   0.4%  Hunger_of_the_Pack_895
  35056   0.4%  Chrono_Shard_900
  34641   0.4%  Oakhearts_Gnarled_Root_865
  34828   0.4%  Terrorbound_Nexus_910
  35030   0.4%  Nightmare_Egg_Shell_900
  35016   0.4%  Memento_of_Angerboda_885
  34815   0.4%  Terrorbound_Nexus_905
  34627   0.4%  Giant_Ornamental_Pearl_890
  35052   0.4%  Stormsinger_Fulmination_Charge_865
  34596   0.4%  Giant_Ornamental_Pearl_885
  34885   0.4%  Hunger_of_the_Pack_890
  34957   0.4%  Chrono_Shard_895
  34582   0.4%  Giant_Ornamental_Pearl_880
  34912   0.4%  Memento_of_Angerboda_875
  34769   0.4%  Caged_Horror_920
  34911   0.4%  Memento_of_Angerboda_880
  34727   0.4%  Terrorbound_Nexus_900
  34928   0.4%  Nightmare_Egg_Shell_895
  34927   0.4%  Chrono_Shard_890
  35010   0.4%  Vindictive_Combatants_Accolade_of_Conquest_920
  34806   0.4%  Hunger_of_the_Pack_885
  34721   0.4%  Caged_Horror_915
  34995   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_920
  34523   0.4%  Giant_Ornamental_Pearl_875
  34977   0.4%  Nether_Conductors_920
  34678   0.4%  Terrorbound_Nexus_890
  34862   0.4%  Chrono_Shard_885
  34673   0.4%  Terrorbound_Nexus_895
  34966   0.4%  Tempered_Egg_of_Serpentrix_920
  34755   0.4%  Hunger_of_the_Pack_880
  34498   0.4%  Giant_Ornamental_Pearl_870
  34828   0.4%  Nightmare_Egg_Shell_890
  34659   0.4%  Caged_Horror_910
  34931   0.4%  Tempered_Egg_of_Serpentrix_915
  34922   0.4%  Nether_Conductors_915
  34619   0.4%  Terrorbound_Nexus_885
  34784   0.4%  Memento_of_Angerboda_870
  34884   0.4%  Nether_Conductors_910
  34888   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_915
  34688   0.4%  Hunger_of_the_Pack_875
  34608   0.4%  Caged_Horror_905
  34851   0.4%  Tempered_Egg_of_Serpentrix_910
  34425   0.4%  Giant_Ornamental_Pearl_865
  34767   0.4%  Nightmare_Egg_Shell_885
  34734   0.4%  Memento_of_Angerboda_865
  34564   0.4%  Terrorbound_Nexus_880
  34592   0.4%  Caged_Horror_900
  34845   0.4%  Vindictive_Combatants_Accolade_of_Conquest_915
  34734   0.4%  Chrono_Shard_880
  34720   0.4%  Nightmare_Egg_Shell_880
  34822   0.4%  Vindictive_Combatants_Accolade_of_Conquest_910
  34810   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_910
  34544   0.4%  Caged_Horror_895
  34680   0.4%  Chrono_Shard_875
  34768   0.4%  Tempered_Egg_of_Serpentrix_905
  34591   0.4%  Hunger_of_the_Pack_870
  34757   0.4%  Nether_Conductors_905
  34563   0.4%  Darkmoon_Deck_Dominion_865
  34508   0.4%  Caged_Horror_890
  34494   0.4%  Terrorbound_Nexus_875
  34650   0.4%  Nightmare_Egg_Shell_875
  34740   0.4%  Vindictive_Combatants_Accolade_of_Conquest_905
  34625   0.4%  Chrono_Shard_870
  34466   0.4%  Terrorbound_Nexus_870
  34247   0.4%  Eye_of_Skovald_920
  34736   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_905
  34681   0.4%  Vindictive_Combatants_Accolade_of_Conquest_900
  34685   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_900
  34461   0.4%  Caged_Horror_885
  34511   0.4%  Hunger_of_the_Pack_865
  34667   0.4%  Nether_Conductors_900
  34645   0.4%  Tempered_Egg_of_Serpentrix_900
  34550   0.4%  Nightmare_Egg_Shell_870
  34424   0.4%  Caged_Horror_880
  34175   0.4%  Eye_of_Skovald_915
  34390   0.4%  Terrorbound_Nexus_865
  34499   0.4%  Chrono_Shard_865
  34151   0.4%  Eye_of_Skovald_910
  34504   0.4%  Nightmare_Egg_Shell_865
  34390   0.4%  Caged_Horror_875
  34564   0.4%  Vindictive_Combatants_Insignia_of_Conquest_920
  34134   0.4%  Eye_of_Skovald_905
  34133   0.4%  Eye_of_Skovald_900
  34574   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_895
  34562   0.4%  Nether_Conductors_895
  34561   0.4%  Tempered_Egg_of_Serpentrix_895
  34561   0.4%  Vindictive_Combatants_Accolade_of_Conquest_895
  34114   0.4%  Mark_of_Dargrul_920
  34341   0.4%  Caged_Horror_870
  34530   0.4%  Vindictive_Combatants_Accolade_of_Conquest_890
  34310   0.4%  Caged_Horror_865
  34496   0.4%  Vindictive_Combatants_Insignia_of_Conquest_915
  34501   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_890
  34485   0.4%  Tempered_Egg_of_Serpentrix_890
  34474   0.4%  Nether_Conductors_890
  34058   0.4%  Eye_of_Skovald_895
  34048   0.4%  Eye_of_Skovald_890
  34030   0.4%  Mark_of_Dargrul_915
  34445   0.4%  Vindictive_Combatants_Insignia_of_Conquest_910
  34434   0.4%  Nether_Conductors_885
  34099   0.4%  Spiked_Counterweight_920
  34443   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_885
  34013   0.4%  Mark_of_Dargrul_910
  34427   0.4%  Vindictive_Combatants_Accolade_of_Conquest_885
  34380   0.4%  Vindictive_Combatants_Insignia_of_Conquest_905
  34000   0.4%  Mark_of_Dargrul_905
  34412   0.4%  Tempered_Egg_of_Serpentrix_885
  33994   0.4%  Mark_of_Dargrul_900
  33982   0.4%  Eye_of_Skovald_885
  34028   0.4%  Spiked_Counterweight_915
  33949   0.4%  Eye_of_Skovald_875
  34359   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_880
  34018   0.4%  Spiked_Counterweight_910
  33953   0.4%  Eye_of_Skovald_880
  33935   0.4%  Mark_of_Dargrul_895
  34315   0.4%  Nether_Conductors_875
  34295   0.4%  Obelisk_of_the_Void_920
  34316   0.4%  Nether_Conductors_880
  34310   0.4%  Vindictive_Combatants_Insignia_of_Conquest_900
  34330   0.4%  Vindictive_Combatants_Accolade_of_Conquest_880
  34315   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_875
  34001   0.4%  Spiked_Counterweight_905
  33994   0.4%  Spiked_Counterweight_890
  33992   0.4%  Spiked_Counterweight_900
  34299   0.4%  Vindictive_Combatants_Accolade_of_Conquest_875
  34320   0.4%  Tempered_Egg_of_Serpentrix_880
  33920   0.4%  Eye_of_Skovald_870
  33894   0.4%  Mark_of_Dargrul_890
  34274   0.4%  Vindictive_Combatants_Accolade_of_Conquest_870
  34282   0.4%  Tempered_Egg_of_Serpentrix_875
  34244   0.4%  Vindictive_Combatants_Insignia_of_Conquest_895
  33961   0.4%  Spiked_Counterweight_895
  34254   0.4%  Obelisk_of_the_Void_915
  33898   0.4%  Eye_of_Skovald_865
  33887   0.4%  Mark_of_Dargrul_885
  34216   0.4%  Obelisk_of_the_Void_910
  34223   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_870
  33861   0.4%  Mark_of_Dargrul_880
  34202   0.4%  Tempered_Egg_of_Serpentrix_865
  34231   0.4%  Tempered_Egg_of_Serpentrix_870
  34207   0.4%  Darkmoon_Deck_Immortality_865
  34226   0.4%  Nether_Conductors_870
  34199   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_865
  34190   0.4%  Nether_Conductors_865
  33901   0.4%  Spiked_Counterweight_885
  33897   0.4%  Spiked_Counterweight_880
  34169   0.4%  Vindictive_Combatants_Insignia_of_Conquest_890
  33835   0.4%  Mark_of_Dargrul_870
  34113   0.4%  Obelisk_of_the_Void_890
  33834   0.4%  Mark_of_Dargrul_875
  34153   0.4%  Obelisk_of_the_Void_905
  34120   0.4%  Obelisk_of_the_Void_895
  34125   0.4%  Obelisk_of_the_Void_900
  34064   0.4%  Naraxas_Spiked_Tongue_910
  34058   0.4%  Naraxas_Spiked_Tongue_915
  33864   0.4%  Spiked_Counterweight_875
  34125   0.4%  Vindictive_Combatants_Insignia_of_Conquest_885
